Ford Everest Titanium 2.2L 4x2 AT 2017,895000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,79.000km,Tp.HCM,Sốtựđộng,Diesel
VinFast LUX A2.0 Tiêu chuẩn 2021,780000000,2021,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7V 4x2 2017,765000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,Tp.HCM,Sốtay,Diesel
Mitsubishi Pajero Sport G 4x4 AT 2018,840000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,56.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Tourneo Titanium 2019,765000000,2019,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,40.000km,VĩnhPhúc,Sốtựđộng,Xăng
Ford Ranger Wildtrak 3.2 4x4 AT 2017",810000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,50km,QuảngNinh,Sốtựđộng,Diesel
Chevrolet Orlando LTZ 1.8 2018",396000000,2018,MPV,Đãquasửdụng,Nhậpkhẩu,82.367km,Tp.HCM,Sốtay,Xăng
Mazda 3 1.5L Luxury 2015",458000000,2015,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Matrix 1.8L  2010",460000000,2010,Hatchback,Đãquasửdụng,Nhậpkhẩu,Tp.HCM,Sốtựđộng,Xăng
BAIC X55 2019",458000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,HảiPhòng,Sốtựđộng,Xăng
Toyota Aygo 1.0 AT 2008,225000000,2008,Hatchback,Đãquasửdụng,Nhậpkhẩu,200.000km,HàNội,Sốtựđộng,Xăng
Hyundai Accent 1.4MT 2020,390000000,2020,Sedan,Đãquasửdụng,Trongnước,28.000km,HàNội,Sốtay,Xăng
Toyota Fortuner 2.5G 4x2MT 2014",598000000,2014,SUV,Đãquasửdụng,Trongnước,72.000km,ĐồngTháp,Sốtay,Diesel
Ford Ranger Wildtrak 2.0L 4x2 AT 2014,350000000,2014,Pick-upTruck,Đãquasửdụng,Trongnước,BìnhPhước,
Cadillac SRX 2005,415000000,2005,SUV,Đãquasửdụng,Nhậpkhẩu,125.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda CX-5 2.5L AT AWD 2018,730000000,2018,SUV,Đãquasửdụng,Trongnước,80.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Previa 2004",360000000,2004,MPV,Đãquasửdụng,Nhậpkhẩu,88.000km,Tp.HCM,Sốtay,Diesel
Porsche Cayenne 3.0 2012,1580000000,2012,SUV,Đãquasửdụng,Nhậpkhẩu,65.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz E400 2015,1300000000,2015,Sedan,Đãquasửdụng,Trongnước,30.800km,Tp.HCM,Sốtựđộng,Xăng
Honda Civic 1.8 AT 2014,250000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,BìnhDương,Sốtựđộng,Xăng
Honda City 1.5 CVT 2017,360000000,2017,Sedan,Đãquasửdụng,Trongnước,80.000km,KonTum,Sốtựđộng,Xăng
Land Rover Range Rover Evoque 2.0P HSE Dynamic 2014",960000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,
Land Rover Range Rover 3.0 HSE 2017",4780000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E400 2015",1025000000,2015,Sedan,Đãquasửdụng,Trongnước,Tp.HCM,Sốtựđộng,Xăng
Honda City 1.5 CVT 2017,388000000,2017,Sedan,Đãquasửdụng,Trongnước,QuảngTrị,Sốtựđộng,Xăng
Peugeot 5008 1.6L Turbo 2020",959000000,2020,SUV,Đãquasửdụng,Trongnước,11.000km,HàNội,Sốtựđộng,Xăng
Mazda 6 2.0L Premium 2018,696000000,2018,Sedan,Đãquasửdụng,Trongnước,Tp.HCM,Sốtựđộng,Xăng
Land Rover Range Rover Sport HSE Dynamic 3.0P 360PS 2014",1250000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
Kia Cerato 1.6 AT Luxury 2019,585000000,2019,Sedan,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
Volkswagen New Beetle 2010",565000000,2010,Coupe,Đãquasửdụng,Nhậpkhẩu,67.450km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Palisade 2.2L-8AT 2019,2450000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,31.000km,HàNội,Sốtựđộng,Diesel
Chevrolet Captiva Revv LTZ 2.4 AT 2016,366000000,2016,CUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
BMW 428i Gran Coupe 2014",1250000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,76.500km,Tp.HCM,Sốtựđộng,Xăng
Honda CR-V 1.5 L 2021,500000000,2021,SUV,Đãquasửdụng,Trongnước,HảiPhòng,Sốtựđộng,Xăng
Land Rover Range Rover Evoque 2.0P HSE Dynamic 2014",968000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,
BMW 218i Gran Tourer 2016",630000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,47.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 1.5L Sedan 2017,470000000,2017,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2009",386000000,2009,SUV,Đãquasửdụng,Trongnước,HàNội,Sốtay,Xăng
Toyota Fortuner 2010",440000000,2010,SUV,Đãquasửdụng,Trongnước,75.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Corolla Altis 2.0V  2011",335000000,2011,Sedan,Đãquasửdụng,Trongnước,105.600km,HàNội,Sốtựđộng,Xăng
Chrysler 300C 2007",435000000,2007,Sedan,Đãquasửdụng,Nhậpkhẩu,130.000km,HàNội,Sốtựđộng,Xăng
