,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Toyota Vios 1.5 E CVT 2020,496000000,2020,Sedan,Đãquasửdụng,Trongnước,64.000km,BìnhThuận,Sốtựđộng,Xăng
1, BMW 528i GT 2017,1645000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,45.000km,HàNội,Sốtựđộng,Xăng
2, Ford Ranger XLS 2.2 4x2 MT 2019,640000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,50.000km,Tp.HCM,Sốtay,Diesel
3, Maserati Levante 3.0L S V6 2017,4200000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
4, Chevrolet Spark LT 2017,225000000,2017,Hatchback,Đãquasửdụng,Trongnước,18.000km,Tp.HCM,Sốtay,Xăng
5, Toyota Hilux 2.8G 4×4 AT 2016,715000000,2016,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,68.000km,HàNội,Sốtựđộng,Diesel
6, Toyota Innova 2.0E 2018,565000000,2018,MPV,Đãquasửdụng,Trongnước,50.000km,Tp.HCM,Sốtay,Xăng
7, Kia Forte 2010,335000000,2010,Sedan,Đãquasửdụng,Trongnước,130.000km,VĩnhPhúc,Sốtựđộng,Xăng
8, Mitsubishi Outlander Sport 2.0 CVT Premium 2014,588000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,29.000km,HàNội,Sốtựđộng,Xăng
9, Porsche Panamera Turbo S Executive 2016,6500000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
10, Mercedes-Benz C300 AMG 2019,1659000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,30.578km,Tp.HCM,Sốtựđộng,Xăng
11, Mitsubishi Xpander Cross 1.5 AT 2021,650000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,7.000km,Tp.HCM,Sốtựđộng,Xăng
12, Hyundai Santa Fe 2.4L (Máy xăng) cao cấp 2014,725000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
13, Mercedes-Benz GLS 400 4MATIC 2019,3650000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,Tp.HCM,Sốtựđộng,Xăng
14, Kia Morning Si 1.25 AT 2018,335000000,2018,Hatchback,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
15, Mazda 3 1.5L Luxury 2018,585000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
16, Nissan Juke 1.6L CVT 2016,729000000,2016,CUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,
17, Hyundai Elantra   2.0 AT 2019,595000000,2019,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
18, Kia Morning SX 1.1 AT Sport 2011,198000000,2011,Hatchback,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
19, Kia Cerato 2.0 AT Premium 2019,625000000,2019,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
20, Peugeot 206 2008,435000000,2008,Convertible,Đãquasửdụng,Nhậpkhẩu,86.000km,Tp.HCM,Sốtựđộng,Xăng
21, Toyota Land Cruiser Prado TX-L 2014,1450000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,Tp.HCM,Sốtựđộng,Xăng
22, Porsche Panamera 4 Executive 2015,3190000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,,Tp.HCM,Sốtựđộng,Xăng
