Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
BMW X6 xDrive40i M Sport 2020,4860000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,6.000km,HàNội,Sốtựđộng,Xăng
Toyota Innova 2.0G 2018,689000000,2018,MPV,Đãquasửdụng,Trongnước,42.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Wigo 1.2E MT 2018,280000000,2018,Hatchback,Đãquasửdụng,Nhậpkhẩu,90.000km,HàNội,Sốtay,Xăng
Mercedes-Benz S400 3.0 V6 2016,2580000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,72.420km,HàNội,Sốtựđộng,Xăng
Toyota Hilux 2.5E 4x2 MT 2021,685000000,2021,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,5.000km,HàNội,Sốtay,Diesel
Mercedes-Benz E200 E200 2019,1750000000,2019,Sedan,Đãquasửdụng,Trongnước,36.000km,HàNội,Sốtựđộng,Xăng
Ford Everest Titanium 2.0 AT 4x2 2021,1239000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,12.000km,Tp.HCM,Sốtựđộng,Diesel
Honda Civic 1.8 G 2019,688000000,2019,Sedan,Đãquasửdụng,Trongnước,44.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Camry 2.0E 2018,835000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,Tp.HCM,Sốtựđộng,Xăng
Kia Seltos 1.4 Luxury 2021,732000000,2021,SUV,Đãquasửdụng,Trongnước,9.900km,HàNội,Sốtựđộng,Xăng
Peugeot 3008 GT 2018,838000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz C180 AMG 2021,1390000000,2021,Sedan,Đãquasửdụng,Trongnước,6.800km,HòaBình,Sốtựđộng,Xăng
Hyundai Santa Fe 2.2L (Máy dầu) cao cấp 2019,1175000000,2019,SUV,Đãquasửdụng,Trongnước,33.000km,HàNội,Sốtựđộng,Diesel
Mercedes-Benz C300 AMG 2019,1679000000,2019,Sedan,Đãquasửdụng,Trongnước,16.000km,Tp.HCM,Sốtựđộng,Xăng
Kia Sorento Signature AWD Xăng (7 ghế) 2021,1250000000,2021,SUV,Đãquasửdụng,Trongnước,8.000km,Tp.HCM,Sốtựđộng,Xăng
VinFast LUX SA2.0 Cao cấp 2020,1165000000,2020,SUV,Đãquasửdụng,Trongnước,22.000km,HàNội,Sốtựđộng,Xăng
Porsche Cayenne 3.0 2020,6880000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,8.047km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.4L (Máy xăng) cao cấp 2022,1388000000,2022,SUV,Đãquasửdụng,Trongnước,5.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7 4X2AT* 2019,995000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,41.000km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.2L (Máy dầu) tiêu chuẩn 2019,1045000000,2019,SUV,Đãquasửdụng,Trongnước,35.000km,HàNội,Sốtựđộng,Diesel
Toyota Corolla Altis 2012,468000000,2012,Sedan,Đãquasửdụng,Trongnước,130.000km,HàNội,Sốtựđộng,Xăng
VinFast LUX SA2.0 Nâng cao 2019,939000000,2019,SUV,Đãquasửdụng,Trongnước,20.000km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Tucson 2.0 Diesel Đặc biệt 2019,910000000,2019,SUV,Đãquasửdụng,Trongnước,53.000km,HàNội,Sốtựđộng,Diesel
Mercedes-Benz C200 Exclusive 2020,1579000000,2020,Sedan,Đãquasửdụng,Trongnước,8.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLK 250 2013,829000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,36.000km,Tp.HCM,Sốtựđộng,Xăng
Honda HR-V L 2019,750000000,2019,SUV,Đãquasửdụng,Trongnước,36.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2012,485000000,2012,SUV,Đãquasửdụng,Trongnước,130.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C 250 Exclusive 2017,1129000000,2017,Sedan,Đãquasửdụng,Trongnước,36.000km,Tp.HCM,Sốtựđộng,Xăng
Porsche Cayenne Coupe 2020,7500000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
Porsche Macan GTS 2020,5900000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz S450 L Luxury 2018,3450000000,2018,Sedan,Đãquasửdụng,Trongnước,59.546km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C200 Exclusive 2021,1319000000,2021,Sedan,Đãquasửdụng,Trongnước,19.312km,Tp.HCM,Sốtựđộng,Xăng
BMW X3 xDrive28i 2016,1330000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,BìnhDương,Sốtựđộng,Xăng
