Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
Toyota Corolla Altis 1.8AT 2015,560000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,57.000km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.4L (Máy xăng) đặc biệt 2019,1029000000,2019,SUV,Đãquasửdụng,Trongnước,32.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2020,1059000000,2020,SUV,Đãquasửdụng,Trongnước,8.000km,BìnhDương,Sốtựđộng,Diesel
Mercedes-Benz C 250 AMG 2015,1025000000,2015,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Ford EcoSport Titanium 1.5L AT 2020,592000000,2020,SUV,Đãquasửdụng,Trongnước,11.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Ranger Raptor 2.0L AT 4x4 2019,1270000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,34.000km,Tp.HCM,Sốtựđộng,Diesel
Audi Q5 2011,650000000,2011,SUV,Đãquasửdụng,Nhậpkhẩu,110.000km,HàNội,Sốtựđộng,Xăng
Toyota Hilux 2.4G 4x2 AT 2020,755000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Diesel
Bentley Continental 2007,2950000000,2007,Convertible,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,
Toyota Innova 2.0G 2017,585000000,2017,MPV,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
Toyota Land Cruiser Prado TLX 2015,1569000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E400 2015,1270000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,79.283km,HàNội,Sốtựđộng,Xăng
Lexus IS 250 2010,1279000000,2010,Convertible,Đãquasửdụng,Nhậpkhẩu,67.899km,HàNội,Sốtựđộng,Xăng
Lexus GX 460 2013,2579000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Bentley Bentayga Design Series 2019,15900000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,38.000km,HàNội,Sốtựđộng,Xăng
Lexus RX 300 T 2020,3299000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,19.238km,HàNội,Sốtựđộng,Xăng
Toyota Corolla Cross 1.8 V  2021,920000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,7.000km,HàNội,Sốtựđộng,Xăng
Toyota Camry 2009,460000000,2009,Sedan,Đãquasửdụng,Trongnước,180.000km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.2 Dầu Đặc biệt 2019,1170000000,2019,SUV,Đãquasửdụng,Trongnước,26.000km,HàNội,Sốtựđộng,Diesel
Land Rover Range Rover AutoBiography LWB 3.0L 2020,9750000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,7.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Corolla 1995,85000000,1995,Sedan,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtay,Xăng
Toyota Corolla Altis 1.8AT 2013,485000000,2013,Sedan,Đãquasửdụng,Trongnước,89.000km,HàNội,Sốtựđộng,Xăng
Ford Fiesta 1.6 AT 2015,340000000,2015,Sedan,Đãquasửdụng,Trongnước,58.000km,BìnhDương,Sốtựđộng,Xăng
Toyota Fortuner 2.5G 4x2MT 2012,578000000,2012,SUV,Đãquasửdụng,Trongnước,88.000km,BìnhDương,Sốtay,Diesel
Mitsubishi Grandis 2.4Mivec 2005,275000000,2005,MPV,Đãquasửdụng,Trongnước,88.000km,BìnhDương,Sốtựđộng,Xăng
Toyota Land Cruiser Prado VX 2018,2240000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Innova 2008,315000000,2008,MPV,Đãquasửdụng,Trongnước,101.000km,BìnhDương,Sốtựđộng,Xăng
Mercedes-Benz C200 Exclusive 2020,1579000000,2020,Sedan,Đãquasửdụng,Trongnước,15.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Escape XLS 2.3 AT 4x2 2012,365000000,2012,SUV,Đãquasửdụng,Trongnước,106.000km,HàNội,Sốtựđộng,Xăng
Mazda CX-5 2.0L AT FWD 2019,840000000,2019,SUV,Đãquasửdụng,Trongnước,37.000km,BìnhDương,Sốtựđộng,Xăng
Mercedes-Benz GLC 300 4MATIC 2019,2469000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,Tp.HCM,Sốtựđộng,Xăng
Chevrolet Captiva LTZ 2.0 2016,568000000,2016,CUV,Đãquasửdụng,Trongnước,38.000km,BìnhDương,Sốtựđộng,Xăng
Kia Sorento 2.2 DAT Premium 2019,858000000,2019,SUV,Đãquasửdụng,Trongnước,69.000km,Tp.HCM,Sốtựđộng,Diesel
Chevrolet Spark LTZ 2013,220000000,2013,Hatchback,Đãquasửdụng,Trongnước,46.000km,HàNội,Sốtựđộng,Xăng
Toyota Vios 1.5G AT 2018,485000000,2018,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover HSE 5.0 AT 2018,7290000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,22.000km,HàNội,Sốtựđộng,Xăng
VinFast LUX A2.0 Tiêu chuẩn 2020,739000000,2020,Sedan,Đãquasửdụng,Trongnước,35.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda 3 1.5 Hatchback 2017,530000000,2017,Hatchback,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
Toyota Land Cruiser Prado TX-L 2015,1555000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,110.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 Sport 1.5L Luxury 2016,505000000,2016,Hatchback,Đãquasửdụng,Trongnước,59.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz S 450L Luxury 2020,4599000000,2020,Sedan,Đãquasửdụng,Trongnước,13.329km,Tp.HCM,Sốtựđộng,
