,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Audi Q5 2.0T 2018,1890000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,HàNội,Sốtựđộng,Xăng
1, Ford Ranger XLS 2.2 4x2 AT 2017,555000000,2017,Pick-upTruck,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Diesel
2, Ford Everest 2007,165000000,2007,SUV,Đãquasửdụng,Trongnước,,HàNội,,
3, VinFast LUX A2.0 Cao cấp 2021,780000000,2021,Sedan,Đãquasửdụng,Trongnước,4.000km,HàNội,Sốtựđộng,
4, Toyota Innova 2.0E 2017,375000000,2017,MPV,Đãquasửdụng,Trongnước,58.000km,Tp.HCM,Sốtay,Xăng
5, Alfa Romeo 159 2010,670000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtựđộng,Xăng
6, Mazda 2 1.5AT 2019,520000000,2019,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
7, Audi A8 L 55 TFSI quattro 2015,2500000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
8, Mazda CX-5 2.5 Premium AT 2WD 2018,815000000,2018,SUV,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
9, Mazda 6 2.0L Luxury 2015,545000000,2015,Sedan,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
10, Mercedes-AMG G 63 Editon One 2020,13600000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,9.500km,HàNội,Sốtựđộng,Xăng
11, Mazda 323 1995,39000000,1995,Sedan,Đãquasửdụng,Trongnước,,HàNội,,
12, BMW X1 sDrive18i xLine 2010,398000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,,HàNội,Sốtựđộng,
13, Porsche Panamera 4 Executive 2019,5950000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,26.000km,HàNội,Sốtựđộng,Xăng
14, Audi Q2 35 TFSI COD 2018,1355000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,38.000km,HàNội,Sốtựđộng,Xăng
15, Mercedes-Benz E250 E250 2018,1820000000,2018,Sedan,Đãquasửdụng,Trongnước,35.406km,HàNội,Sốtựđộng,Xăng
16, Hyundai Grand i10 Sedan 1.2 AT 2015,300000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,78.000km,Tp.HCM,Sốtựđộng,Xăng
17, Mercedes-Benz C300 AMG 2014,695000000,2014,Sedan,Đãquasửdụng,Trongnước,56.327km,HàNội,Sốtựđộng,Xăng
18, Mercedes-Benz S400 S400 2014,2150000000,2014,Sedan,Đãquasửdụng,Trongnước,83.686km,HàNội,Sốtựđộng,Xăng
19, BMW 535i GT 2012,790000000,2012,Sedan,Đãquasửdụng,Nhậpkhẩu,76.500km,Tp.HCM,Sốtựđộng,Xăng
20, Mazda 2 Sedan 1.5L Luxury 2019,488000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,29.000km,Tp.HCM,Sốtựđộng,Xăng
21, Bentley Flying Spur W12 2013,8900000000,2013,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
22, Rolls-Royce Phantom 2014,28990000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,13.000km,HàNội,Sốtựđộng,Xăng
23, Bentley Mulsanne 6.8 V8 2013,11990000000,2013,Sedan,Đãquasửdụng,Nhậpkhẩu,35.000km,HàNội,Sốtựđộng,Xăng
24, Peugeot 3008 Allure 2021,1025000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,12.000km,Tp.HCM,Sốtựđộng,Xăng
25, Zotye Hunter 1.3 MT 2011,100000000,2011,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,ĐồngNai,Sốtay,Xăng
26, Mazda CX-5 2.5 Premium AT 2WD 2020,875000000,2020,SUV,Đãquasửdụng,Trongnước,38.000km,HàNội,Sốtựđộng,Xăng
27, Bentley Continental GT V8 2016,7900000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,10.000km,Tp.HCM,Sốtựđộng,Xăng
28, Ford Ranger Wildtrak 3.2 4x4 AT 2016,710000000,2016,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,62.000km,HàNội,Sốtựđộng,Diesel
29, Mitsubishi Outlander 2.0 CVT 2020,765000000,2020,SUV,Đãquasửdụng,Trongnước,29.000km,Tp.HCM,Sốtựđộng,Xăng
30, Rolls-Royce Phantom 2011,19500000000,2011,Sedan,Đãquasửdụng,Nhậpkhẩu,25.000km,HàNội,Sốtựđộng,Xăng
31, Ford Ranger Wildtrak 3.2 4x4 AT 2015,715000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,Tp.HCM,Sốtựđộng,Diesel
32, Mazda CX-5 2.0 Premium 2020,840000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,ĐàNẵng,Sốtựđộng,Xăng
33, Ford Ranger XLS 2.2 4x2 AT 2019,689000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,20.000km,Tp.HCM,Sốtựđộng,Diesel
34, Nissan Navara NP300E 4x2MT 2015,485000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,50.000km,Tp.HCM,Sốtay,Diesel
35, Mazda 3 1.5L Sedan 2016,488000000,2016,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
36, Mercedes-Benz E300 AMG 2017,855000000,2017,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
37, Mercedes-Benz E300 AMG 2018,1879000000,2018,Sedan,Đãquasửdụng,Trongnước,49.000km,Tp.HCM,Sốtựđộng,Xăng
38, Hyundai County 2014,275000000,2014,Van/Minivan,Đãquasửdụng,Trongnước,200.000km,HàNội,Sốtay,Diesel
39, Hãng khác Xe cổ 1987,2500000000,1987,Coupe,Đãquasửdụng,Nhậpkhẩu,50.000km,Tp.HCM,Sốtựđộng,Xăng
40, Mercedes-Benz V 220 2015,1860000000,2015,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Diesel
41, Hyundai Starex 2.5 MT 2016,690000000,2016,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
42, Land Rover Range Rover HSE 5.0 AT 2021,4680000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,,HàNội,,
43, Kia Forte 2009,290000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,11.000km,PhúThọ,Sốtựđộng,Xăng
44, Ford Explorer 2.3L Ecoboost 2016,1320000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,34.000km,HàNội,Sốtựđộng,Xăng
45, Mercedes-Benz C180 AMG 2020,1390000000,2020,Sedan,Đãquasửdụng,Trongnước,5.500km,Tp.HCM,Sốtựđộng,Xăng
46, Mercedes-Benz GLC 200 2.0 I4 2021,1799000000,2021,SUV,Đãquasửdụng,Trongnước,15km,Tp.HCM,Sốtựđộng,Xăng
47, Mercedes-Benz GLC 200 4Matic 2021,2099000000,2021,SUV,Đãquasửdụng,Trongnước,20km,Tp.HCM,Sốtựđộng,Xăng
48, Mercedes-Benz GLC 300 4MATIC 2021,2499000000,2021,SUV,Đãquasửdụng,Trongnước,30km,Tp.HCM,Sốtựđộng,Xăng
49, Toyota Land Cruiser VX 4.6 V8 2013,197000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,112.654km,HàNội,Sốtựđộng,
50, Hyundai Accent 1.4MT 2018,380000000,2018,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtay,Xăng
51, Honda Civic 1.8 AT 2011,385000000,2011,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
52, Toyota Innova 2.0G 2012,340000000,2012,MPV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtay,Xăng
53, Ford EcoSport Titanium 1.5L AT 2016,455000000,2016,SUV,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Xăng
54, Zotye Z8 2019,495000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,TháiNguyên,Sốtựđộng,Xăng
55, Mazda BT-50 Luxury 4x2 2.2 AT 2020,435000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,12.000km,HàNội,Sốtựđộng,Diesel
56, Suzuki Swift GLX 1.2 CVT 2018,499000000,2018,Hatchback,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,
57, Suzuki Vitara 1.6AT 2016,555000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
58, Toyota Fortuner 2.5G 4x2MT 2015,685000000,2015,SUV,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtay,Diesel
59, Suzuki Swift 1.4 AT 2018,495000000,2018,Hatchback,Đãquasửdụng,Trongnước,56.000km,HàNội,Sốtựđộng,Xăng
60, Nissan Teana AT 2015,228000000,2015,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Xăng
61, Porsche Cayenne 3.6 V6 2012,1690000000,2012,SUV,Đãquasửdụng,Nhậpkhẩu,55.000km,HàNội,Sốtựđộng,Xăng
62, Hyundai Starex 2.5 MT 2017,425000000,2017,Van/Minivan,Đãquasửdụng,Trongnước,62.000km,Tp.HCM,Sốtay,Diesel
63, Toyota Vios 1.5G AT 2018,485000000,2018,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
64, Chevrolet Cruze LT 2015,315000000,2015,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtay,Xăng
65, Mercedes-Benz A200 1.6 AT 2013,639000000,2013,Hatchback,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
66, Hyundai Tucson 1.6 Đặc biệt 2018,795000000,2018,SUV,Đãquasửdụng,Trongnước,26.000km,HàNội,Sốtựđộng,Xăng
67, Ford Fiesta Titanium 1.0 AT EcoBoost 2015,369000000,2015,Hatchback,Đãquasửdụng,Trongnước,29.000km,Tp.HCM,Sốtựđộng,Xăng
68, BMW Z4 2009,1200000000,2009,Coupe,Đãquasửdụng,Nhậpkhẩu,62.000km,Tp.HCM,Sốtựđộng,Xăng
69, Chevrolet Spark 2010,70000000,2010,Hatchback,Đãquasửdụng,Trongnước,,HàNội,Sốtay,Xăng
70, VinFast LUX SA2.0 Cao cấp 2021,1210000000,2021,SUV,Đãquasửdụng,Trongnước,4.000km,HàNội,Sốtựđộng,Xăng
71, Mazda 6 2.0 AT 2016,599000000,2016,Sedan,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Xăng
72, Kia Optima 2.0 GAT Luxury 2020,720000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,28.000km,HàNội,Sốtựđộng,Xăng
73, Honda Civic 1.8 AT 2019,645000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,BìnhDương,Sốtựđộng,
74, Mercedes-Benz C300 AMG 2018,1368000000,2018,Sedan,Đãquasửdụng,Trongnước,43.000km,HàNội,Sốtựđộng,Xăng
