,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Mercedes-Benz CLA 250 4Matic 2014,845000000,2014,Sedan,Đãquasửdụng,Trongnước,78.858km,HàNội,Sốtựđộng,
1, Mercedes-Benz C 250 Exclusive 2016,1119000000,2016,Sedan,Đãquasửdụng,Trongnước,51.499km,Tp.HCM,Sốtựđộng,Xăng
2, Mercedes-Benz GLC 200 4Matic 2021,1789000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
3, Mitsubishi Xpander 1.5MT 2021,520000000,2021,MPV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtay,Xăng
4, Kia Forte S 2.0 AT 2009,320000000,2009,Sedan,Đãquasửdụng,Trongnước,90.000km,HàNội,Sốtựđộng,Xăng
5, Hyundai Tucson 2.0 Đặc biệt 2016,730000000,2016,SUV,Đãquasửdụng,Trongnước,68.000km,HàNội,Sốtựđộng,Xăng
6, Ford Ranger XLS 2.2 4x2 AT 2018,678000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,65.000km,Tp.HCM,Sốtựđộng,Diesel
7, Mercedes-Benz C 250 AMG 2015,985000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,46.000km,Tp.HCM,Sốtựđộng,Xăng
8, Mercedes-Benz E250 E250 2017,1535000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,40.000km,Tp.HCM,Sốtựđộng,Xăng
9, Lexus NX 300 T 2018,2220000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,Tp.HCM,Sốtựđộng,Xăng
10, Ford Ranger XLS 2.2 4x2 MT 2013,395000000,2013,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,120.000km,HàNội,Sốtay,Diesel
11, Ford Ranger Raptor 2.0L AT 4x4 2020,1380000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Diesel
12, Toyota Vios 1.5E MT 2020,432000000,2020,Sedan,Đãquasửdụng,Trongnước,50.000km,VĩnhPhúc,Sốtay,Xăng
13, BMW X7 xDrive 40i M Sport 2019,6300000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,14.484km,HàNội,Sốtựđộng,Xăng
14, Lexus LX 570 Super Sport 2012,3480000000,2012,SUV,Đãquasửdụng,Trongnước,84.261km,HàNội,Sốtựđộng,Xăng
15, Mercedes-Benz CLA 250 4Matic 2014,845000000,2014,Sedan,Đãquasửdụng,Trongnước,78.858km,HàNội,Sốtựđộng,
16, Mercedes-Benz C 250 Exclusive 2016,1119000000,2016,Sedan,Đãquasửdụng,Trongnước,51.499km,Tp.HCM,Sốtựđộng,Xăng
17, Mercedes-Benz GLC 200 4Matic 2021,1789000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
18, Mitsubishi Xpander 1.5MT 2021,520000000,2021,MPV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtay,Xăng
19, Kia Forte S 2.0 AT 2009,320000000,2009,Sedan,Đãquasửdụng,Trongnước,90.000km,HàNội,Sốtựđộng,Xăng
20, Hyundai Tucson 2.0 Đặc biệt 2016,730000000,2016,SUV,Đãquasửdụng,Trongnước,68.000km,HàNội,Sốtựđộng,Xăng
