,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Porsche Panamera 2017,5950000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
1, Porsche 718 Cayman 2.0 2021,5500000000,2021,Coupe,Đãquasửdụng,Nhậpkhẩu,4.000km,HàNội,Sốtựđộng,Xăng
2, Porsche Cayenne S 2015,3250000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,57.936km,HàNội,Sốtựđộng,Xăng
3, Porsche Cayenne S 2019,5600000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
4, Porsche Cayenne 3.6 V6 2015,2920000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,59.546km,HàNội,Sốtựđộng,Xăng
5, Toyota Vios 1.5E MT 2021,465000000,2021,Sedan,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtay,Xăng
6, Porsche Macan S 2021,5388000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,2.247km,HàNội,Sốtựđộng,
7, Toyota Hilux 2.4E 4×2 AT 2020,765000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,25.000km,HàNội,Sốtựđộng,Diesel
8, Mercedes-Benz E250 AMG 2018,1820000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,56.000km,HàNội,Sốtựđộng,Xăng
9, Mercedes-Benz S400 3.0 V6 2014,2050000000,2014,Sedan,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
10, Hyundai Santa Fe 2.2L (Máy dầu) tiêu chuẩn 2019,1045000000,2019,SUV,Đãquasửdụng,Trongnước,35.000km,HàNội,Sốtựđộng,Diesel
11, Mazda CX-5 2.0 Luxury 2020,860000000,2020,SUV,Đãquasửdụng,Trongnước,15.000km,HàNội,Sốtựđộng,Xăng
12, Mercedes-Benz E200 AMG 2018,1630000000,2018,Sedan,Đãquasửdụng,Trongnước,48.000km,HàNội,Sốtựđộng,
13, Mercedes-Benz GLK 250 2013,839000000,2013,SUV,Đãquasửdụng,Trongnước,60.000km,Tp.HCM,Sốtựđộng,Xăng
14, Porsche Cayenne 3.6 V6 2019,5990000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,11.265km,HàNội,Sốtựđộng,Xăng
15, Mercedes-Benz C300 AMG 2017,1298000000,2017,Sedan,Đãquasửdụng,Trongnước,32.994km,HàNội,Sốtựđộng,Xăng
16, Ford Fiesta Titanium 1.0 AT EcoBoost 2018,415000000,2018,Hatchback,Đãquasửdụng,Trongnước,330.000km,Tp.HCM,Sốtựđộng,Xăng
17, Kia Carens 2008,290000000,2008,CUV,Đãquasửdụng,Nhậpkhẩu,180.000km,HàNội,Sốtay,Diesel
18, Lexus ES 250 F Sport 2018,2320000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
19, Mitsubishi Zinger 2009,225000000,2009,MPV,Đãquasửdụng,Trongnước,120.000km,Tp.HCM,Sốtay,Xăng
20, Mercedes-Benz GLC 250 4Matic 2017,1450000000,2017,SUV,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
21, Toyota Fortuner 2.4G 4x2 AT  2020,1030000000,2020,SUV,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Diesel
22, Toyota Vios 1.5 E CVT 2020,510000000,2020,Sedan,Đãquasửdụng,Trongnước,22.000km,HàNội,Sốtựđộng,Xăng
